time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,FPAR_RS,fPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,NDWI_anom_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,CO2_RS,C4_percent_RS,elevation_RS,month_RS,VegH_RS,MI_RS,x_coord,y_coord
2017-12-15,-44.92429590670319,171.60434553140027,121.89917432249406,121.89917432249406,27.60426394273811,0.09453300777216671,75.7262929274737,107.4,173.37344660873657,111.66809069506849,34.51106728984455,246.40163988505375,380.9698221736673,408.44740535239737,9.191576033628284,0.42104584,1.1552107,55.711807,0.6891145,38.51001,15.796918,79.79503,5.6312346,9.736803,10.0,-0.08001024,1.2354497,185.67558,0.53568804,0.81277263,0.79247767,0.97816485,22.986582,1.0539715,17.200363,28.773207,1.0070364,1.8483394,403.857,89.09971,220.944,12.0,6.6514645,0.5555552,130.7945459,-13.17904178
2018-01-15,-17.029600370087117,170.89292477629039,113.90859226754722,113.90859226754722,25.409125845760787,0.1896904689313523,87.08541724970651,858.7999930000001,123.28699263212303,104.34816382454221,15.685689973939212,166.46932327641045,387.2756031485854,422.32637093845636,4.282529440894932,0.44913024,1.0712355,36.465675,0.6929402,35.08896,20.654491,73.3076,6.4623823,7.959469,10.0,-0.06056266,1.728368,1038.7926,2.2234533,1.4188108,1.4152629,1.2657816,18.009323,0.90962464,8.449038,27.12949,0.97828764,1.8483394,403.901,89.09971,220.944,1.0,6.6514645,4.6772537,130.7945459,-13.17904178
2018-02-15,-33.82109748224632,162.0253870589883,94.3858877972097,94.3858877972097,25.900778864720948,0.17949287079613097,86.46968497701121,400.59999999999997,128.57439772252343,95.72801516998749,24.427620633598394,182.07200248999075,383.90400364583337,410.9988698920303,4.622851327789839,0.48844522,1.1112975,49.11109,0.72441524,34.04001,20.654491,73.3076,6.4623823,6.5255947,10.0,-0.062372617,1.8184124,356.55408,0.867996,1.281667,1.2686963,1.2397585,19.986885,0.9896696,8.584225,27.514414,0.99785775,1.8483394,403.963,89.09971,220.944,2.0,6.6514645,1.2614775,130.7945459,-13.17904178
2018-03-15,-26.708218666246164,170.78229912386942,123.24905397697388,123.24905397697388,27.513144763866645,0.15030967466397852,74.60379664278024,218.0,144.59382269365636,112.90467399861974,24.69659070856678,212.6982205038338,378.282384139785,408.5193677507556,9.56416514346465,0.42564306,0.9751381,56.803757,0.6640563,31.978607,20.654491,73.3076,6.4623823,3.8890686,10.0,-0.07762212,1.8018287,185.11206,0.7379403,1.4000909,1.1960583,1.1492574,21.618149,1.0442063,13.231941,28.089539,1.0109127,1.8483394,404.055,89.09971,220.944,3.0,6.6514645,0.5601575,130.7945459,-13.17904178
2018-04-15,-18.417743575876088,147.57962623358742,118.0572353927962,118.0572353927962,28.481965686293186,0.10592746085763889,61.47883834853627,61.599999999999994,146.56743385597414,111.75356202151417,29.04595149541208,230.8329530383542,364.4264670833333,408.2057704439647,15.373142530308032,0.3823173,0.9606718,58.53457,0.6191801,34.13922,20.654491,73.3076,6.4623823,6.3523464,10.0,-0.11056389,1.5450288,55.21039,0.64124197,0.79825443,1.1479682,1.1416346,22.74832,1.028188,20.407152,27.786875,1.0179238,1.8483394,404.316,89.09971,220.944,4.0,6.6514645,0.25263456,130.7945459,-13.17904178
2018-05-15,32.974598684005514,72.12825580072683,85.25443874070345,85.25443874070345,25.286583886012345,0.04204986550403225,47.463843549940954,0.2,112.77579661712365,78.09897360147475,36.92994790628379,213.31721535126346,336.47479637096774,398.43025152461075,17.291628874319983,0.29502743,0.88949174,47.630817,0.45812678,36.77948,20.654491,73.3076,6.4623823,11.814089,10.0,-0.1131692,1.0936744,2.1574514,0.09265459,0.67311835,1.1367923,1.142555,21.112684,1.0390451,24.115862,24.965391,0.98531234,1.8483394,404.557,89.09971,220.944,5.0,6.6514645,0.021649819,130.7945459,-13.17904178
2018-06-15,-6.834305661137593,84.30359774408015,56.657530249532755,56.657530249532755,24.31293076522428,0.02962443314236111,47.492560095365754,0.2,104.94230289799307,53.632297924480554,42.736692293236736,209.26763457555555,328.0736474305555,399.2779423230202,16.283259123848588,0.23411915,0.8242233,41.995228,0.40526414,37.253326,20.654491,73.3076,6.4623823,13.5546055,10.0,-0.118563,0.9540671,0.21030879,0.29794267,0.52301025,1.3221537,1.1425405,19.86842,1.0179855,22.875769,23.69872,1.0150455,1.8483394,404.832,89.09971,220.944,6.0,6.6514645,0.004664058,130.7945459,-13.17904178
2018-07-15,-14.163353825535177,90.97317148604364,63.234921017677365,63.234921017677365,24.854481875,0.024963348571908604,49.187190220120826,0.0,107.75203998677686,57.92756952246609,44.84440465110207,212.13773866233868,330.6696934811828,404.74599702134,16.289075401269034,0.2339503,1.0096596,45.708878,0.4309215,38.18918,20.654491,73.3076,6.4623823,14.353712,10.0,-0.109529175,0.7993348,0.95294106,0.5001148,0.12823121,0.7758262,1.1424216,20.293736,1.0062574,23.058674,23.835466,1.0253357,1.8483394,405.333,89.09971,220.944,7.0,6.6514645,0.008859717,130.7945459,-13.17904178
2018-08-15,-25.14076275328114,98.41327803089503,73.19876684313448,73.19876684313448,24.79636963037634,0.02154260885080645,47.788587153240194,0.0,119.72227583163887,67.05514274429314,47.94157203295937,229.69840948771412,330.4172363575269,400.09644358191764,16.67806502801585,0.22678247,1.1942321,44.030807,0.41687524,40.13217,20.654491,73.3076,6.4623823,15.850349,10.0,-0.12050166,0.7827578,0.5048409,0.25962412,0.36614487,0.6692847,1.1423235,22.464165,1.0019429,25.160063,24.281822,1.0021089,1.8483394,405.804,89.09971,220.944,8.0,6.6514645,0.0070542805,130.7945459,-13.17904178
2018-09-15,-28.973289332591843,103.14133408199655,77.11926965734128,77.11926965734128,26.63051813194445,0.017498108085416665,66.07815723970157,0.6,142.92214114913193,73.00148149353882,65.61208745972684,246.5049877632639,353.7770284027778,399.48982175972424,12.113554276404276,0.2231682,1.3318738,42.747772,0.4067898,41.9711,20.654491,73.3076,6.4623823,14.285191,10.0,-0.1341228,0.82785976,1.6075821,0.10347945,0.15812883,0.4683796,1.1422976,24.424902,1.0181719,28.309387,27.68591,1.0120515,1.8483394,406.019,89.09971,220.944,9.0,6.6514645,0.022898564,130.7945459,-13.17904178
2018-10-15,-2.5250466813342154,98.7716209944055,79.60832995225826,79.60832995225826,27.590059758064516,0.049544176245295696,71.73578104417628,56.999998999999995,133.8674295667809,72.9267467035771,58.525469475854415,221.13257011422715,371.62267002688174,405.782061951569,10.693518807347708,0.24016765,1.2565241,40.27117,0.4160499,43.68817,20.654491,73.3076,6.4623823,13.992241,10.0,-0.14825076,0.97748566,49.378304,0.797736,0.6486788,0.5206548,1.1099372,24.501745,1.0019997,25.946594,29.69593,1.013356,1.8483394,406.061,89.09971,220.944,10.0,6.6514645,0.1596841,130.7945459,-13.17904178
2018-11-15,-12.939661126675613,135.73527395923918,100.08400466381855,100.08400466381855,27.26500081944445,0.10862020090625,78.0256812177396,204.0,152.65744295079256,94.74001305676899,34.00000950152556,217.2296044535745,383.3961876388889,409.1370738910838,8.152990097141231,0.33459866,1.2128034,41.754097,0.5880113,37.055023,20.654491,73.3076,6.4623823,7.7336617,10.0,-0.115950614,1.0522236,184.92697,1.228365,1.0347936,1.0216935,1.1198694,22.524992,0.9664905,19.094275,29.321362,1.0005975,1.8483394,405.977,89.09971,220.944,11.0,6.6514645,0.6859709,130.7945459,-13.17904178
2018-12-15,-20.166188848851935,174.85312464121603,103.59893716931074,103.59893716931074,27.924643551617763,0.10454154851063742,79.78253757108881,114.59999900000001,164.33263807938306,94.90380534596059,28.4468026223584,232.64221030142193,387.16612512702415,405.79120788275844,7.804082527420967,0.40938824,1.123226,49.805202,0.65013623,32.496643,20.654491,73.3076,6.4623823,2.8909912,10.0,-0.070677,1.0913337,93.265,0.26907656,0.5859339,0.57159686,1.083261,23.656162,1.0846728,16.827955,29.605652,1.0361713,1.8483394,405.915,89.09971,220.944,12.0,6.6514645,0.4516507,130.7945459,-13.17904178
