time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fe_EC,Fh_EC,Fsd_EC,Fn_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_L1_RS,precip_L2_RS,precip_L3_RS,IGBP_class_RS
2016-01-15 00:30:00,9.254477024415028,19.101399136657296,28.355876161072324,25.825473454301076,0.03225022435259856,45.76656811029419,35.800000000000004,29.145004006666607,96.31661233747573,301.0717826599664,144.6692803260867,376.0344952284947,18.44520327303937,0.35000002,325.69498,22.058709336923982,0.11881392,27.080742,-1.3719761,307.0751,25.362099,18.314907,38.92347,11.824879,13.407437,14.548253,5.0
2016-02-15 00:30:00,2.9664628531542108,23.62460644838003,26.591069301534244,24.937915639367816,0.033274172658045977,49.015165587836286,0.4,18.579012949136477,105.74434274891149,312.89368822017957,143.5036903145115,363.75118512931033,16.42776684277457,0.3,323.922,22.740520804696963,0.0972022,25.940054,-1.4731938,314.7629,24.385172,17.60523,3.9781108,38.92347,11.824879,13.407437,5.0
2016-03-15 00:30:00,-0.5686700835110603,23.94578468211301,23.377114598601953,23.90675978629032,0.02695239901657706,52.14177986995166,6.199999999999999,14.63229018737418,73.35645514903779,235.4358286360215,100.79714872559812,370.9653424731182,14.475724176041254,0.35000002,316.34573,23.46612101589345,0.10807411,18.838917,-1.7972618,231.75777,23.607098,15.094374,12.648672,3.9781108,38.92347,11.824879,5.0
2016-04-15 00:30:00,-4.451118577645492,19.645690314816385,15.194571737170891,18.84354041041667,0.025174077909722224,55.14415665135563,4.0,9.549253401579792,44.84371620354454,171.380105572125,58.26311129474444,340.62489569444443,9.882874605299675,0.275,308.13467,25.150074238934135,0.107814215,17.167315,-1.6833653,170.40895,18.433332,10.101048,11.129617,12.648672,3.9781108,38.92347,5.0
2016-05-15 00:30:00,-0.8092413756671843,16.60659243308338,15.797351057416199,15.441261053091397,0.033701501319444445,72.77811035505029,21.400000000000002,14.715034050669983,22.521328104618323,113.73333438834679,31.134331515060477,333.94752090053765,4.817189360663513,0.3,301.58218,27.330441842257454,0.12949759,13.350338,-1.5232015,113.28404,15.384678,6.412799,36.190205,11.129617,12.648672,3.9781108,5.0
2016-06-15 00:30:00,-4.438028847499068,17.73124620377873,13.29321735627966,11.348359969583335,0.03745919695138889,88.22090526631162,15.8,18.52020908425825,12.231724623357165,95.18168869428402,24.388214068265277,317.409931875,1.5902227456296016,0.3,291.80597,28.927156937937667,0.15423718,7.6776133,-0.9814271,94.35571,11.321502,3.1477585,20.637852,36.190205,11.129617,12.648672,5.0
2016-07-15 00:30:00,-8.24040427403035,19.03358324305822,10.79317896902787,11.59594668004013,0.03241628965277778,85.7272742572296,15.000000000000002,17.480317597663653,18.345035638905728,107.50879237096102,34.36368821067908,319.2083742852739,1.9591089379783462,0.3,294.77777,27.91074039161808,0.14172259,11.119778,-1.615827,106.14919,11.057743,3.5659685,28.936197,20.637852,36.190205,11.129617,5.0
2016-08-15 00:30:00,-9.805888311757109,25.001965513794566,15.196077202037454,12.738242063346402,0.039079103322132616,63.60780684169645,28.6,18.79973041307215,31.896349896107573,150.90154636175066,54.523307408135075,312.22773313172047,5.390671694075198,0.3,300.68332,25.37210623802954,0.1355775,14.884529,-1.0714641,146.91603,12.130486,5.0786753,24.421635,28.936197,20.637852,36.190205,5.0
2016-09-15 00:30:00,-15.181913926680963,34.72400219975707,19.54208827307611,13.63927021536775,0.05703228895138889,76.87423174122863,90.79999900000001,43.27909018294845,44.22641909824675,178.16665919111804,81.79093554659723,325.2806763888889,3.636137048387883,0.35,302.3686,23.449354108076356,0.15746425,15.2888365,1.1140553,177.95526,13.297833,5.248519,56.388268,24.421635,28.936197,20.637852,5.0
2016-10-15 00:30:00,-15.863514955365734,37.714534133205596,21.851019177839866,16.752883496639786,0.04224553197468638,49.47372853389003,13.0,31.646860816415874,72.31905415723588,255.8630562929503,118.21387071607865,324.12388810483867,9.735404194348535,0.4,312.13058,25.312797628222505,0.11656329,22.94116,1.2143381,257.31778,16.195162,9.048179,22.801079,56.388268,24.421635,28.936197,5.0
2016-11-15 00:30:00,-14.437906559078183,39.04558499886172,24.607678439783538,19.8957399698043,0.033322986312500004,47.56432979087727,14.8,27.661431459245346,100.56153874144489,303.5381162516184,146.3771369434923,338.78958259122317,12.350420936841266,0.36666667,318.72943,21.543015813714575,0.11306148,26.321022,0.88773334,312.97073,19.678337,12.504446,12.078148,22.801079,56.388268,24.421635,5.0
2016-12-15 00:30:00,-5.770540778052495,38.09760034265536,32.32705956460287,23.57542082653773,0.03388984507952509,46.29138304478353,38.400000000000006,34.89940861030884,95.88001443434628,298.8211930639143,151.95698114636255,367.95904138428256,15.91715859770005,0.375,324.99002,21.249525272206988,0.1283899,28.86458,0.91532594,310.79376,23.111128,15.904932,37.331898,12.078148,22.801079,56.388268,5.0
2017-01-15 00:30:00,-1.0434027365245941,40.1617259977276,39.118323261202995,25.903965940860218,0.03972600797043011,45.641094815985284,23.200000000000003,39.34087548818213,98.29606372243248,313.25764120232327,158.33477496214178,376.8939538306451,18.57619385762919,0.45,325.41782,23.133508249745795,0.10746246,26.978989,0.94652236,303.55438,25.203232,18.772764,31.405025,37.331898,12.078148,22.801079,5.0
2017-02-15 00:30:00,-2.731671173876213,31.723247313226743,28.99157613935053,24.02638123363095,0.031928594303075396,48.23094519042688,6.200000000000001,21.84301747055291,94.4196876635661,276.20996524458184,133.59731409896057,371.13013303571427,15.77424560254052,0.45,323.1035,25.190530197208908,0.100530304,26.490683,0.82735336,263.3019,23.588755,15.32408,7.598402,31.405025,37.331898,12.078148,5.0
2017-03-15 00:30:00,-7.229845731374164,35.907041951879066,28.677196220504907,24.368878875,0.02718124302867384,48.03421821436059,1.2000000000000002,14.831589006733065,80.44614484122258,248.51390857379033,108.41140021952957,367.8289192204302,16.170682268880366,0.39999998,318.26187,26.59094279018974,0.09935059,21.890234,-0.051365633,230.89532,24.067743,15.032194,7.354923,7.598402,31.405025,37.331898,5.0
2017-04-15 00:30:00,-7.319753242225959,32.54192336680865,25.222170124582696,17.955913985416665,0.04122288322685185,58.20124330361296,45.800000000000004,17.325800520280957,41.509632779798196,166.42703012472916,64.51648552511806,343.9014159027778,8.701783745050331,0.3,307.4723,27.072630047308287,0.12135796,17.318264,-0.040157743,155.90279,17.925999,8.429759,28.396744,7.354923,7.598402,31.405025,5.0
2017-05-15 00:30:00,-15.64675399760944,36.22030353199658,20.573549534387137,13.282936909946237,0.038733509918234765,67.33766465804698,18.400000000000002,19.69634904191018,22.64506313953802,129.26774545610888,40.08043370171371,319.67150793010757,5.016078198093765,0.375,298.2891,33.31437358106153,0.1352282,12.249228,0.07338409,126.87052,12.937418,4.2582293,20.195694,28.396744,7.354923,7.598402,5.0
2017-06-15 00:30:00,-19.366504309117854,34.60116057609986,15.234656266982,10.441730465515043,0.032478074655092594,75.10505801709428,2.0,12.28195026670092,24.602598398597344,117.81618031954167,33.3321383985125,306.2794877777778,3.1620133723515362,0.35,294.112,32.36219091565119,0.11543813,11.272093,-0.62034553,116.48534,9.570833,2.9191103,10.154747,20.195694,28.396744,7.354923,5.0
2017-07-15 00:30:00,-18.591431362450606,32.50928941492822,13.917858052477605,11.472578124193548,0.0309480321953405,64.35358590758297,7.2,16.047737079401507,18.58054612741946,120.95168873754032,33.44049645057795,307.9064438844086,4.852646267031658,0.325,293.88913,31.157580213854168,0.12431949,9.5995655,-1.3828607,121.662186,11.484999,5.021695,20.271296,10.154747,20.195694,28.396744,5.0
2017-08-15 00:30:00,-15.784631473151794,33.18762064364161,17.40298917048981,11.438400731326242,0.0466728333624552,65.1689364137085,32.800000000000004,23.155861788247265,27.224952920243467,143.85662295809814,52.178232186149195,309.8007172715054,4.7308015198512345,0.3,296.798,29.926663523406326,0.13904399,11.410989,-1.288506,143.33557,11.549033,4.810938,25.173483,20.271296,10.154747,20.195694,5.0
2017-09-15 00:30:00,-13.971173698709881,30.39939096462527,16.428217265915386,15.388564625,0.033010877752314816,50.76660921037423,3.8000000000000003,14.792386680073953,58.60821281043817,202.91942297213888,82.43123318194444,320.169649375,8.682468087268632,0.4,306.43198,27.331127934670516,0.11111734,18.062382,-0.739848,197.41127,15.511167,9.413475,7.7040176,25.173483,20.271296,10.154747,5.0
2017-10-15 00:30:00,-10.175850989015586,30.229128786471733,20.053277797456143,19.052433484543013,0.03245922157706093,49.59913203105631,10.600000000000001,21.640397011050563,88.33544926246681,266.5389593088239,125.0976551141801,338.3042521505376,11.253157823687276,0.33333334,315.13715,24.07462453859385,0.10949978,23.640293,-0.9971975,258.77386,18.513546,10.707466,20.25182,7.7040176,25.173483,20.271296,5.0
2017-11-15 00:30:00,-5.143630025833597,28.783634572882043,23.640004547048445,22.779735445833335,0.04316872920486111,46.053668999931205,32.8,27.925107621469962,84.36677004766054,272.4125625593708,134.0389651628639,365.43035000000003,15.220206276981,0.3,317.8123,21.99369728813589,0.121823534,22.719053,-1.2195714,265.20447,22.432497,14.960796,29.226078,20.25182,7.7040176,25.173483,5.0
2017-12-15 00:30:00,-14.786180611492135,45.41912280104685,30.632942189554722,23.29987529905914,0.04600577896617384,45.482733243873916,39.0,37.87807681500419,93.3896675657495,306.4155783529294,150.32237527893076,360.40108004032254,15.884394147612033,0.45000002,323.36887,22.99673022017374,0.110068224,28.0681,-0.72759855,298.66708,22.974838,15.212839,23.031998,29.226078,20.25182,7.7040176,5.0
2018-01-15 00:30:00,-1.451674283001255,28.39423114080165,26.942556857800398,26.865141619623657,0.029704404516129036,38.046348332888186,7.6000000000000005,22.950366089377873,110.86816562421154,318.8820922778763,152.7864845402016,378.649738172043,22.43929313648198,0.4,327.83276,22.252755536286227,0.100231916,30.220263,-0.7365513,312.86966,26.191938,21.654541,15.86578,23.031998,29.226078,20.25182,5.0
2018-02-15 00:30:00,-1.0884845975408803,22.96499974862755,21.87651515108667,25.85472152529762,0.03023253693700397,39.95406739211018,3.2,16.942141831617807,91.88854413472947,277.9351076480506,128.78036068607884,376.23804129464287,20.45838218523101,0.4,323.85715,24.735065505881668,0.10253398,26.053083,-0.9410567,266.00943,25.240892,18.657969,11.38645,15.86578,23.031998,29.226078,5.0
2018-03-15 00:30:00,-7.2688142222962036,25.655465143343502,18.3866509210473,22.141259663306453,0.027496215351702512,45.6019991574053,1.6,11.460891511497785,83.4317766253887,254.31403131625672,109.80747700459678,351.71091821236564,14.75081983089981,0.45,315.91458,27.593947853777998,0.102185436,21.497719,-0.8419535,231.64949,21.651451,13.81819,8.876204,11.38645,15.86578,23.031998,5.0
2018-04-15 00:30:00,-9.030939294929192,25.847062509532048,16.816123214602854,20.403191322916665,0.02633547902777778,47.9705045315628,2.8,10.186318372598445,52.61845790038796,187.74931678828474,65.988493744125,344.9145624305556,12.653531719624773,0.33333334,310.595,28.270594832378748,0.106059946,18.14823,-1.3230948,173.84259,20.027002,12.147658,6.4445114,8.876204,11.38645,15.86578,5.0
