time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,C4_percent_RS,x_coord,y_coord
2014-02-15,-38.430995403447525,154.49341981817759,105.2063692616927,105.2063692616927,26.98612621279762,0.15713808909970237,78.57695003776179,215.39999999999998,161.57540583949128,106.70235930079745,26.86245979069384,248.96972852657512,440.4863881696429,402.7170097785182,7.8161184749852035,0.36569026,1.2731862,32.172943,5.207099,89.17354,6.029869,3.9024086,10.0,0.00284976,214.37401,0.9492406,0.850835,0.8372182,1.0454626,22.03738,0.9449854,13.346074,28.270535,0.962261,0.81842667,81.94342,132.3706,-15.2588
2014-03-15,-21.066359359871605,135.10447548375186,145.28190224386373,145.28190224386373,27.766094586478214,0.11168914141512955,66.72798935928249,98.19999999999999,181.89105297912587,133.088289779549,26.241222801964994,287.07908978572044,426.90225222785597,412.60649395278557,12.721799037461029,0.33267546,1.0791059,33.509186,5.207099,89.17354,6.029869,4.5640163,10.0,-0.03113426,73.518684,0.53698677,0.828227,0.7886692,0.7990547,24.444311,1.0642588,22.313276,28.94517,0.9906342,0.81842667,81.94342,132.3706,-15.2588
2014-04-15,-45.52226094507189,125.35054053791984,97.36925529865317,97.36925529865317,27.846705555747302,0.04635822784674638,59.87334776735962,1.0,145.8502931609158,92.17021790153372,36.10001323082466,255.3196182843517,420.6092406176485,399.9005180578122,15.417025681600599,0.28511015,1.004779,34.167847,5.207099,89.17354,6.029869,5.475813,10.0,-0.06646885,1.3874218,0.06354499,0.752196,0.7822889,0.764456,22.85603,0.9939956,22.953396,28.692034,1.0325619,0.81842667,81.94342,132.3706,-15.2588
2014-05-15,-28.082704233383858,105.26607320156918,70.18275278698738,70.18275278698738,25.21279147177419,0.04056219964381721,53.16256750736091,0.0,116.75011987264784,64.2922648738621,43.54509836577435,232.30971152163974,389.4411297715054,393.03743277315937,15.346767431829734,0.24543914,0.9908027,32.631714,5.207099,89.17354,6.029869,6.7634125,10.0,-0.08518087,0.0,0.0,0.46275097,0.76992834,0.76421946,20.6049,1.0099137,24.126347,25.868301,1.0428168,0.81842667,81.94342,132.3706,-15.2588
2014-06-15,-9.798502403522747,70.40069059502369,41.09883402592792,41.09883402592792,22.006507225,0.038289566986111113,41.06670679345807,0.0,90.0542791929861,38.90435924614844,51.8820347870616,222.73290814738195,356.6295771527778,389.6369056235356,15.847067988023019,0.19552253,0.8778469,30.605255,5.207099,89.17354,6.029869,8.334518,10.0,-0.11406186,0.0,0.0,0.051794868,0.7953695,0.76403034,19.026619,0.99473864,21.600658,22.270737,1.0090467,0.81842667,81.94342,132.3706,-15.2588
2014-07-15,-3.5568252411020485,63.42278521352794,31.63478673522234,31.63478673522234,21.605971308016624,0.03689706984317107,38.056820101857454,0.0,94.47039699129633,28.9796567852231,57.08551898834226,230.95502448377593,350.41540143381695,389.6136388328426,16.245297155420033,0.16698667,0.88550603,31.500488,5.207099,89.17354,6.029869,9.930901,10.0,-0.12840918,0.07678846,0.4918827,0.014952571,0.7172025,0.7541266,19.98272,1.0210445,22.206036,21.569588,0.9809997,0.81842667,81.94342,132.3706,-15.2588
2014-08-15,0.48295530032778,56.26555878407341,28.499241551979217,28.499241551979217,21.787247592069892,0.03570713596774193,26.053596167838858,0.0,102.02112158512146,26.107280119450493,67.19451464870991,263.5365331570699,340.11591868279567,389.66954586743026,19.614048609973985,0.14151889,0.9174602,34.484924,5.207099,89.17354,6.029869,12.919542,10.0,-0.1363864,0.010492799,0.025227983,0.038500424,0.44296905,0.75408864,22.674976,1.0071255,24.911171,21.565382,0.92071927,0.81842667,81.94342,132.3706,-15.2588
2014-09-15,15.100898557992238,51.73184379167295,22.626852878359202,22.626852878359202,27.542435465277777,0.03542310199305555,25.197344657807168,0.0,123.5004932900061,21.4186906721999,81.16883236194414,289.4178572925625,377.64685444444444,391.8301399499006,28.220135363862607,0.118131824,0.8772204,41.33603,5.207099,89.17354,6.029869,14.57704,10.0,-0.14452685,0.0,0.0,0.021651704,0.047370713,0.7532054,26.294556,1.0656886,33.77538,26.75899,0.9610143,0.81842667,81.94342,132.3706,-15.2588
2014-10-15,14.34713752132173,52.41910206559204,21.25660063234826,21.25660063234826,30.507070060483873,0.03521901288978495,28.379856761678013,0.0,141.51975512794382,19.4725191575305,98.26200980451036,314.4722737867944,405.82561465053766,385.0131053039488,32.22721779369575,0.10836924,0.83925396,45.61267,5.207099,89.17354,6.029869,15.171253,10.0,-0.1431079,0.4781964,0.02720315,0.02277873,0.02126718,0.7494916,27.39011,1.0480496,38.138794,30.441418,0.9884247,0.81842667,81.94342,132.3706,-15.2588
2014-11-15,55.32124009239918,40.103047495859116,47.121533837006,47.121533837006,30.902907715277777,0.08086487583650796,48.31994724956597,93.4,152.3034976548102,44.60547662904241,77.45467220294537,282.4652690968486,438.62541298611114,404.15981452476393,23.802244723450052,0.12664224,0.9272655,43.036163,5.207099,89.17354,6.029869,10.8386345,10.0,-0.103618346,102.52421,1.65339,1.2403004,1.2083653,0.7985532,24.962887,0.9873692,33.11038,32.19753,1.0176684,0.81842667,81.94342,132.3706,-15.2588
2014-12-15,20.770051380487665,91.49896204588849,79.12039763979595,79.12039763979595,29.129729801846135,0.11113372603722321,69.31747335204933,233.999999,171.90577409668646,72.47976689404246,62.830156196446175,272.7603719252679,451.27558173154813,407.07733017372493,12.726332541128283,0.1911399,1.1053174,41.539215,5.207099,89.17354,6.029869,10.737858,10.0,-0.08352754,270.1631,1.237917,1.2529596,1.236516,0.9240564,22.933775,0.9531689,19.12563,30.801357,0.99857336,0.81842667,81.94342,132.3706,-15.2588
2015-01-15,-10.910323221639006,136.63784842295567,109.86186756253343,109.86186756253343,28.042962392473118,0.15796078998655916,74.28905351464576,320.19999800000005,161.81696196133674,100.64108357655019,33.52578321539684,251.39309472201265,446.9068237903226,398.41744723915997,9.995149782304757,0.29070652,1.1981251,34.855286,5.0499806,81.55285,14.262,5.897459,10.0,-0.012046532,222.71893,0.91485757,1.1259362,1.0829262,0.9282133,21.422113,0.9494195,13.810606,28.957827,0.9750301,0.81842667,81.94342,132.3706,-15.2588
2015-02-15,-25.070447458025164,129.8119432986671,109.71640204600594,109.71640204600594,28.656724077380957,0.12003158941220239,64.55414030891544,193.0,172.1952095234605,111.27652284229507,26.630764699958263,279.4098316406711,433.4116314732143,411.51234902634974,14.294023975250667,0.3061777,1.0659875,36.215576,5.0499806,81.55285,14.262,6.38435,10.0,-0.023530107,165.32997,0.73207533,0.9670253,0.9967416,0.89625716,25.685726,1.1014302,21.728533,29.831226,1.0153832,0.81842667,81.94342,132.3706,-15.2588
2015-03-15,-43.1177776561842,155.11402096285585,133.98462491768194,133.98462491768194,28.56581336021505,0.1015413586155914,63.76979735115799,92.2,179.59875842411546,122.73920090278688,23.587079518776314,289.5399934759348,426.16877688172036,415.70428194501375,14.531354487088171,0.31792974,1.0312749,34.396423,5.0499806,81.55285,14.262,4.5481186,10.0,-0.030238084,130.70718,0.9546964,0.8557597,0.9878962,0.956547,24.681932,1.0746044,24.544273,29.848305,1.0215436,0.81842667,81.94342,132.3706,-15.2588
