time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,LAI_anom_RS,kNDVI_anom_RS,FPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_anom_RS,vpd_RS,tavg_anom_RS,SOC_RS,CO2_RS,x_coord,y_coord
2016-02-15 00:30:00,-57.9197607345463,213.5121807572947,142.66957460934015,142.66957460934015,28.94474966954023,0.08266734709770115,74.65229312506945,112.0,202.46624199383047,139.70867986170057,30.290688294608536,285.5953012378721,431.07979173850566,405.0093686396434,10.39860850539183,0.9958744,0.8162642,50.710815,38.81726,8.81516,84.23896,7.1573157,8.380695,10.0,-0.07791814,0.43527624,1.0233103,0.9823984,0.9218423,1.09124,17.79872,1.0453517,0.80259156,399.134,131.3881,-14.1592
2016-03-15 00:30:00,-21.2268299281654,205.85986329061902,133.55189658850304,133.55189658850304,28.521889879032255,0.09209782916666666,79.05090197099565,236.0,171.91180165590197,122.3427917673055,30.37708387327259,245.26794186256325,430.8025987903226,415.7443622848136,8.380365987857264,1.0969404,0.9901985,55.84654,36.070007,8.81516,84.23896,7.1573157,5.5074005,10.0,-0.07436964,0.8847677,0.5750376,0.9628886,0.9246065,1.0029864,16.330593,1.0452155,0.80259156,399.386,131.3881,-14.1592
2016-04-15 00:30:00,-17.783618500653063,135.07668435396346,117.43676417425891,117.43676417425891,28.635077174312464,0.050672194204886514,54.89714965089436,0.2,147.70467345762802,111.16622090199138,21.80639579104098,244.3661874695105,406.29385105747934,411.29113851852486,18.16488597766747,1.2905216,1.119448,59.280697,37.30667,8.81516,84.23896,7.1573157,8.0960045,10.0,-0.097905345,0.04091237,0.57184505,0.9359543,0.91988504,1.0472684,25.8575,1.0355146,0.80259156,399.735,131.3881,-14.1592
2016-05-15 00:30:00,22.418410266060413,125.17806491607928,90.77151422242295,90.77151422242295,27.220912076612905,0.06286879370295699,63.549371544099884,41.4,118.13235206333319,83.15299704903559,25.95757434187813,204.5316200456309,404.7849314516129,411.72994359173407,13.488219956375094,1.1818521,1.1993258,51.703857,36.281586,8.81516,84.23896,7.1573157,7.908985,10.0,-0.13474166,4.248242,0.8247924,0.9679408,0.94061375,0.95619184,22.391197,1.1014867,0.80259156,400.239,131.3881,-14.1592
2016-06-15 00:30:00,-10.844224350310343,115.56032954768261,71.25769560976528,71.25769560976528,25.47425851388889,0.034349039972222224,53.89747797917174,0.0,99.26211696575693,67.45288655405867,32.01845053261775,202.73663971490276,378.78341875,404.87749421898553,15.348535391572517,1.1422583,1.227675,46.83752,36.240448,8.81516,84.23896,7.1573157,9.91926,10.0,-0.15928741,0.0,0.5994103,0.57660496,0.94061375,0.9909016,22.35262,1.1288428,0.80259156,400.787,131.3881,-14.1592
2016-07-15 00:30:00,-8.202429519135137,104.44553408817978,56.986673909021505,56.986673909021505,23.02386481182796,0.03193849172043011,45.440473639831005,0.4,92.35790444367474,52.203742198019405,42.59040330697368,206.78735954807124,355.9181520833334,405.23155572782963,15.627731239492743,1.1242806,1.1349045,44.238068,36.849182,8.81516,84.23896,7.1573157,13.32663,10.0,-0.17650813,18.39354,4.353295,0.625114,0.9423478,0.9979697,22.613352,1.0084585,0.80259156,401.306,131.3881,-14.1592
2016-08-15 00:30:00,-6.891452993007906,92.42534830149191,46.94840771662305,46.94840771662305,25.000302018817205,0.030008556727150536,40.29286645459569,0.2,106.93149712384273,43.0079947631072,59.174285708365765,231.98939978130716,365.3519489247312,401.57567669435025,19.311616792844188,1.0219967,1.0300039,39.95169,40.350952,8.81516,84.23896,7.1573157,15.171808,10.0,-0.1856525,0.028902475,1.2142442,0.82752883,0.9423439,0.99191767,25.384573,1.0248142,0.80259156,401.608,131.3881,-14.1592
2016-09-15 00:30:00,28.184624507493826,84.69367634302097,56.142495187666846,56.142495187666846,28.852013680555558,0.0524686035,58.19241777061944,104.599999,137.70144731223562,53.144763191535255,68.48892134882493,237.61257723840365,418.3927834722222,404.34305870765627,17.056709578258694,1.1269838,1.1683156,40.973915,41.59668,8.81516,84.23896,7.1573157,11.374039,10.0,-0.16615501,6.797981,5.1154337,0.99240506,0.9621788,0.9025936,25.160559,1.0561515,0.80259156,401.767,131.3881,-14.1592
2016-10-15 00:30:00,-1.9348456482439405,113.49176907783946,85.78608574555665,85.78608574555665,29.385345354088866,0.04781257805272166,49.02958160799641,40.6,161.1615787683687,78.58599909845347,56.98526911844229,277.4476946201757,409.9224585624005,405.99307860302616,21.464457004728732,1.2577318,1.3449588,48.469128,45.452393,8.81516,84.23896,7.1573157,15.082691,10.0,-0.13458087,0.4302554,1.2036228,1.8593634,0.96173483,0.98218083,27.078455,0.9809358,0.80259156,401.801,131.3881,-14.1592
2016-11-15 00:30:00,13.525610949428323,115.00814829711035,81.34999731373443,81.34999731373443,29.744344458404573,0.05908668092228812,59.23204360975065,138.4,172.7775235130039,77.00630918556281,66.03566585622767,272.22747259192965,428.30046884242813,409.97526469533346,17.537051033515947,1.049781,0.9922711,44.541237,44.121704,8.81516,84.23896,7.1573157,12.785521,10.0,-0.13100576,0.87094456,0.9479779,0.95137227,0.96488625,0.9969869,23.499577,1.0061438,0.80259156,401.532,131.3881,-14.1592
2016-12-15 00:30:00,-7.041983790634859,169.59839095536177,112.29868877691482,112.29868877691482,28.012318958333335,0.08311285500672043,74.14875911407914,250.999999,167.4047280422547,102.87338066869705,38.09901288697122,241.12822828063443,432.90845396505375,412.05645235292263,10.031276603227678,0.82619774,0.9264726,37.60527,43.32599,8.81516,84.23896,7.1573157,13.381655,10.0,-0.109676085,1.2998267,1.1227036,1.1751499,0.7670434,0.9477447,17.495014,0.98903215,0.80259156,401.333,131.3881,-14.1592
2017-01-15 00:30:00,-17.703682352602538,184.85928263241416,111.564144913337,111.564144913337,26.855763091397847,0.08978914146505375,84.02133148096529,235.59999800000003,159.07899432737105,102.20048758936814,27.08260404198784,218.5560936682816,434.0657017473119,408.10952710536,5.784118716203635,1.1741561,1.0920117,44.720707,36.149994,9.665161,75.72765,15.607183,7.2566814,10.0,-0.06390696,1.1607255,1.1555986,1.1588017,0.9346541,0.9187929,9.993077,0.984536,0.80259156,401.312,131.3881,-14.1592
2017-02-15 00:30:00,-19.619712883937087,169.44175923144286,115.61009156516641,115.61009156516641,26.832351741071427,0.08921196690476191,79.83327780435782,180.799999,165.69190531049702,117.25401813173461,24.86763282032906,233.17807255811758,426.9733897321429,410.3539695281361,7.289850908979486,0.9018355,1.0437434,42.731438,36.773315,9.665161,75.72765,15.607183,8.442175,10.0,-0.07891793,0.96769345,1.1483996,1.1202947,1.0590187,0.98289317,11.715589,0.9730404,0.80259156,401.305,131.3881,-14.1592
2017-03-15 00:30:00,-29.843331762782505,198.58826177806208,134.1597950073268,134.1597950073268,27.689208044711272,0.09175508157973852,78.96498544505233,203.799999,176.31096315096949,122.89966884333072,29.03831998895582,246.90553659343317,431.53481528769476,405.3016176462203,8.00589723928054,1.1382197,1.18969,56.019653,34.900024,9.665161,75.72765,15.607183,5.281225,10.0,-0.068580754,1.1727474,1.0956548,1.1054162,1.0973854,0.9292002,14.118799,1.012938,0.80259156,401.409,131.3881,-14.1592
2017-04-15 00:30:00,-11.30861740644733,140.58958951927514,119.37563877111279,119.37563877111279,27.21764881944445,0.0672500531736111,60.05247326225031,43.199999,136.89111168770415,113.00156917006264,16.41000680905482,222.44395451890904,408.8321858333334,403.66606884328536,14.77931293248588,1.2921201,1.3367682,59.704376,33.07727,9.665161,75.72765,15.607183,5.064966,10.0,-0.07166109,0.3041818,0.98697025,1.0843273,1.1072532,0.97371024,20.232224,0.9930328,0.80259156,401.665,131.3881,-14.1592
